ID,TIMESTAMP,STUDY_NUSH,LEVEL,GENDER,AWARE,OFTEN,EAT_SCHOOL,THROW,THROW_OFTEN,THROW_KIND,THROW_AMOUNT,THROW_WHY,THROW_EFFORT,SEE,KIND,AVERAGE,EFFORT,SUGGESTIONS
11,2022/09/08 8:42:33 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Rarely,Yes,No,,,,,,A few times a week,Rice/Carbohydrates,A few bites,Yes,Spread awareness and enforce regulations on food waste
12,2022/09/08 8:43:38 PM GMT+8,No,Sec 2 (Year 2),Male,Yes,Rarely,Yes,Yes,A few times a week,Vegetables,A few bites,I immensely dislike eating the stems of a broccoli. ,Yes,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,"Stall owners should give specific size allocations to each meal (small, medium, large etc) so students can get a better gauge of how much food they are ordering and choose appopriately."
13,2022/09/08 8:43:52 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Sometimes,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables,A few bites,Yes,Don't offer a standardized portion to a group of people 
14,2022/09/08 8:44:14 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Rarely,Yes,No,,,,,,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,Yes,buy only needed food
15,2022/09/08 8:45:15 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Often,Yes,Yes,A few times a month,Rice/Carbohydrates,A quarter of a meal,Portion too much,Yes,Rarely,Rice/Carbohydrates;Vegetables,A few bites,Yes,Schools need better education and facilities to allow students to know and apply knowledge on reducing food wastage
16,2022/09/08 8:46:15 PM GMT+8,Yes,Sec 2 (Year 2),Male,Somewhat,Sometimes,Yes,Yes,A few times a week,Rice/Carbohydrates,A few bites,No time to consume/ too full,Yes,A few times a week,"Didn’t pay attention, unaware",A few bites,Yes,Honestly I would think that it’s really up to the individuals mindset/ the circumstances in consideration that determines our food waste. I would suggest schools to provide simple influential articles/ readings to students for self study of the situation
17,2022/09/08 8:46:55 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Sometimes,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables,A quarter of a meal,Yes,Produce downsized portions for those who can't finish their food
18,2022/09/08 8:47:11 PM GMT+8,Yes,Sec 3 (Year 3),Male,Yes,Rarely,Yes,Yes,Rarely,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,"Rotten, tastes bad(trying new food),too much",Yes,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,I do not know
19,2022/09/08 8:47:49 PM GMT+8,Yes,Sec 2 (Year 2),Male,Somewhat,Sometimes,Yes,Yes,A few times a month,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,sometimes school gives you a half hour lunch ,Yes,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A quarter of a meal,Yes,mandate that lunch periods should be at least two periods long 
20,2022/09/08 8:48:51 PM GMT+8,Yes,Sec 1 (Year 1),Male,Somewhat,Rarely,Yes,No,,,,,,A few times a month,Rice/Carbohydrates,A few bites,Yes,allow more flexibility for food portions
21,2022/09/08 8:49:25 PM GMT+8,No,Sec 3 (Year 3),Female,Yes,Sometimes,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables,A quarter of a meal,Yes,"smaller portions given or a variety of portion sizes; smaller sample sizes so students can taste whether they would like the taste and buy the actual portion; give more flexibility to customise dishes served e.g. less rice, no cucumber…"
22,2022/09/08 8:54:03 PM GMT+8,Yes,Sec 2 (Year 2),Female,Yes,Rarely,Yes,No,,,,,,A few times a week,Rice/Carbohydrates,A quarter of a meal,Yes,"students should only order what they can eat, and stalls should be open to allowing the students to indicate their preferred portion sizes."
23,2022/09/08 8:56:20 PM GMT+8,Yes,Sec 2 (Year 2),Female,Yes,Often,Yes,Yes,A few times a week,Rice/Carbohydrates,A few bites,"I am not able to finish the portion of food. Usually I keep it to only a few bites, or just try to eat everything somehow.",Yes,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,Yes,Students can ask for less food when buying from canteent vendors. Canteen vendors can also reduce portion size of items that are commonly wasted: reduce wastage; they need not prepare as much food too 
24,2022/09/08 8:56:22 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Rarely,Yes,No,,,,,,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A quarter of a meal,Yes,Serve students the amount of food that they can eat (ask them how much they want) and educate them on food wastage
25,2022/09/08 8:58:34 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Sometimes,Yes,No,,,,,,Multiple times a day,Rice/Carbohydrates;Vegetables,A few bites,Yes,To just care about this more 
26,2022/09/08 8:59:49 PM GMT+8,No,Sec 1 (Year 1),Female,Yes,Rarely,No,No,,,,,,Multiple times a day,Rice/Carbohydrates;Snacks,Half of a meal,Yes,let students choose rice portions
27,2022/09/08 9:05:10 PM GMT+8,Yes,Sec 3 (Year 3),scarmbleedeggz,Yes,Often,No,No,,,,,,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins,Half of a meal,Yes,"i don’t normally go to canteen (or eat in school) so i’m not too sure. however, i think letting students have more knowledge of portion sizes (eg diagrams) so they know how much they’re buying.
also, i think when students get something they didn’t expect to taste bad, they wouldn’t finish it, so maybe having food that’s less salty/oily but not to the point that it’s bland, might help.
lastly, increase the damn lunch durations. some people only have 30 min lunch (1h break in total) in a day packed with lessons. i think students will throw away less food if they’re given more time to finish it.

these are just my thoughts (as someone who doesn’t frequent the canteen at all), take the ideas with a pinch of salt yeaaaa"
28,2022/09/08 9:06:12 PM GMT+8,No,Sec 1 (Year 1),Female,Yes,Rarely,Yes,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables,A few bites,Yes,"having competitions between classes regarding the amount of food thrown away. many students are very competitive so this might spur them into saving food. also some schools have something like a “class of the month/semester/year”, the school can allow this competition to contribute towards the point system for the top class "
29,2022/09/08 9:09:35 PM GMT+8,No,Sec 2 (Year 2),Male,Yes,Sometimes,Yes,No,,,,,,Once a week,Rice/Carbohydrates,A quarter of a meal,Yes,kifk
30,2022/09/08 9:09:54 PM GMT+8,Yes,Sec 2 (Year 2),Female,Yes,Rarely,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,"Get less food and only food you like, and make to sure to finish it in school, or, bring it back home to do so."
31,2022/09/08 9:11:40 PM GMT+8,Yes,Sec 1 (Year 1),Male,Yes,Sometimes,Yes,No,,,,,,Daily,Vegetables;Meat/Proteins,A few bites,Yes,"Perhaps offer smaller portions, as well as a “No vegetables” option,"
32,2022/09/08 9:11:49 PM GMT+8,No,Sec 2 (Year 2),Male,Yes,Rarely,No,No,,,,,,Daily,Rice/Carbohydrates;Vegetables;unfinished meat e.g. a lot of meat still left on the bone,A few bites,Yes,all. especially the students because they are the ones trhowing away.
33,2022/09/08 9:12:00 PM GMT+8,No,Sec 1 (Year 1),Female,Yes,Sometimes,Yes,Yes,Once a week,Rice/Carbohydrates,A few bites,I usually think that I can finish the food but in the end I either don’t have the time to finish the food or still ordered too much.,Yes,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins,A quarter of a meal,Yes,#NAME?
34,2022/09/08 9:15:19 PM GMT+8,No,Sec 1 (Year 1),Female,Yes,Rarely,Yes,Yes,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,"Full, can't eat anymore",Yes,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,Buy only what you can eat
35,2022/09/08 9:16:10 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Sometimes,Yes,Yes,Once a week,Rice/Carbohydrates;Meat/Proteins,A few bites,Unable to finish the food,Yes,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,To create smaller portions of food
36,2022/09/08 9:18:56 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Sometimes,Yes,Yes,A few times a week,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks;Things i dont like,A few bites,i dont like it,No,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,No,They should not
37,2022/09/08 9:31:22 PM GMT+8,Yes,JC 1 (Year 5),Female,Yes,Sometimes,Yes,Yes,A few times a week,Rice/Carbohydrates,A few bites,cannot finish,Yes,Multiple times a day,Rice/Carbohydrates,A few bites,Yes,ask for less rice
38,2022/09/08 9:44:36 PM GMT+8,No,Sec 2 (Year 2),Male,Somewhat,Often,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables,A few bites,Yes,Order less food
39,2022/09/08 10:17:56 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Sometimes,Yes,Yes,A few times a week,Rice/Carbohydrates;Meat/Proteins,A few bites,I like to eat at mixed rice stall but if I want to eat there I have to eat express q because the normal queue is too long. because the meat is too spicy(yes I am weird) I have to throw it away if I want a functioning tongue.,Yes,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A quarter of a meal,No,"I don't think anything SHOULD be done. This is a legitimate opinion, I think that if we just resolve the climate change crisis, everything else will be much more alleviated. For example, we will have more space for landfills for our food waste and we have more time to research technology that removes the problem of food waste completely."
40,2022/09/08 10:19:33 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Sometimes,No,No,,,,,,Rarely,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,Yes,Nil
41,2022/09/09 8:47:30 AM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Rarely,Yes,Yes,A few times a week,Vegetables,A few bites,It comes with the food but i do not eat it,Yes,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A quarter of a meal,Yes,Order less
42,2022/09/09 9:43:53 AM GMT+8,Yes,Sec 2 (Year 2),Female,Yes,Sometimes,Yes,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables,A quarter of a meal,Yes,finish their food instead of throwing it away or save it for later if they are unable to finish it
43,2022/09/09 9:45:06 AM GMT+8,Yes,Sec 2 (Year 2),Male,Somewhat,Sometimes,No,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables,A few bites,Yes,Smaller portion sizes
44,2022/09/09 10:22:23 AM GMT+8,No,Sec 2 (Year 2),Female,Yes,Often,Yes,Yes,Rarely,Vegetables,A few bites,Don't like to eat some food like veges,Yes,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,"Students can of course try to ask for less, food stalls can cut down on their portions of necessary, school can do all their lessons and games to encourage, maybe even set up a compost"
45,2022/09/09 10:44:49 AM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Rarely,Yes,Yes,A few times a week,Rice/Carbohydrates,A few bites,not enough time/hunger to eat,Yes,Multiple times a day,Rice/Carbohydrates;Vegetables,A few bites,Yes,food stalls say they have smaller portions
46,2022/09/09 10:54:34 AM GMT+8,Yes,Sec 2 (Year 2),Male,Somewhat,Rarely,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,buy less if u cant finish it?
47,2022/09/09 11:14:20 AM GMT+8,Yes,Sec 2 (Year 2),Male,Somewhat,Rarely,Yes,No,,,,,,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,make different portions so that people can order only what they can finish
48,2022/09/09 12:57:49 PM GMT+8,Yes,Sec 1 (Year 1),Male,Yes,Rarely,Yes,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables,A quarter of a meal,Yes,tell them not to waste
49,2022/09/09 1:06:22 PM GMT+8,Yes,Other,Male,Yes,Sometimes,No,No,,,,,,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,Yes,More flexible portions and choices 
50,2022/09/09 1:15:25 PM GMT+8,Yes,Sec 3 (Year 3),Female,Yes,Rarely,Yes,No,,,,,,Multiple times a day,Vegetables,A few bites,Yes,take only the portions necessary :)
51,2022/09/09 1:20:09 PM GMT+8,No,Sec 3 (Year 3),Male,Somewhat,Sometimes,Yes,No,,,,,,Multiple times a day,Rice/Carbohydrates,A quarter of a meal,Yes,i have no idea
52,2022/09/09 1:31:30 PM GMT+8,No,Other,Female,Yes,Rarely,Yes,Yes,Once a week,Vegetables,A few bites,doesn’t taste nice so i eat as much as i can / too full,Yes,Multiple times a day,Rice/Carbohydrates;Vegetables,A few bites,Yes,should make it known that students/staff can ask for less rice/side dish etc.
53,2022/09/09 1:42:52 PM GMT+8,No,Upper Primary (P4-P6),Male,Yes,Rarely,Yes,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables,A few bites,Yes,Dont give the students too much food
54,2022/09/09 1:52:42 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Rarely,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,Yes,Aren't you supposed to be doing the journal?
55,2022/09/09 3:51:01 PM GMT+8,Yes,Sec 2 (Year 2),Nonbinary ,Yes,Rarely,Yes,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables;Meat/Proteins,A quarter of a meal,Yes,Ask for less of something (ie less rice) when ordering food & raise awareness of the issue of food waste. 
56,2022/09/09 4:22:42 PM GMT+8,Yes,Sec 2 (Year 2),Female,Somewhat,Sometimes,Yes,Yes,A few times a month,Rice/Carbohydrates;Vegetables,A few bites,Cant finish in time,Yes,A few times a week,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A quarter of a meal,Yes,Otfer smaller meals
57,2022/09/09 4:27:43 PM GMT+8,No,Upper Primary (P4-P6),non-binary ,Yes,Sometimes,Yes,No,,,,,,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,"i dont really know
like schools are like “omg food wastage is bad!!1!1!1!😭😭😭😨😨😨😢” but honestly i dont think anyone cares.
the most they’d do is just let you off with a warning or something 
i’ve never actually seen anyone severely reprimand anyone for wasting food.. schools don’t really care."
58,2022/09/09 5:03:57 PM GMT+8,No,Other,Male,Yes,Sometimes,Yes,No,,,,,,A few times a week,,A few bites,Yes,Fast more
59,2022/09/09 5:23:27 PM GMT+8,No,Sec 2 (Year 2),prefer not to say,Somewhat,Rarely,Yes,No,,,,,,Rarely,Rice/Carbohydrates,A few bites,Yes,charge more whenever food is being thrown away
60,2022/09/09 5:25:36 PM GMT+8,No,Sec 1 (Year 1),Female,Yes,Sometimes,Yes,No,,,,,,Multiple times a day,Rice/Carbohydrates,A few bites,Yes,"encourage to only take what you can eat, don’t overestimate yourself. also maybe providing portion size choices?"
61,2022/09/09 5:26:12 PM GMT+8,Yes,Sec 2 (Year 2),Male,No,Never,Yes,No,,,,,,I have never seen anything of the sort.,I can't see,A few bites,No,"Food waste is not a problem, you are being fed lies, eater of vegetables!"
62,2022/09/09 5:30:37 PM GMT+8,No,Sec 2 (Year 2),Male,Yes,Rarely,Yes,No,,,,,,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A quarter of a meal,Yes,Promoting students to only order portions they can eat. Stalls can give slightly less portions while lowering the price as well.
63,2022/09/09 5:36:20 PM GMT+8,No,Upper Primary (P4-P6),Female,Yes,Rarely,Yes,Yes,Once a week,Vegetables,A few bites,"I cannot finish the food or i do not like it, i ask others if they want the food but if they do not then i throw is away.",Yes,Multiple times a day,Rice/Carbohydrates;Vegetables,A few bites,Yes,they can give smaller servings so that it reduces the chances of someone not eating the food and if someone wants they can ask for more.
64,2022/09/09 5:42:01 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Rarely,Yes,Yes,A few times a week,Rice/Carbohydrates;Ice,A few bites,Can't finish/taste like shit ,No,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,Make food better/evict western food stall 
65,2022/09/09 5:46:23 PM GMT+8,No,Sec 2 (Year 2),hm,Yes,Rarely,Yes,Yes,Rarely,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Cannot finish,Yes,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,Stalls can have an option to make portions smaller or bigger according to the customers request
66,2022/09/09 5:47:36 PM GMT+8,Yes,Other,Male,Yes,Never,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables,A few bites,Yes,Allow flexible portioning 
67,2022/09/09 5:51:07 PM GMT+8,No,Sec 2 (Year 2),Female,Yes,Often,Yes,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables;Meat/Proteins,A quarter of a meal,Yes,smaller portions
68,2022/09/09 5:52:31 PM GMT+8,Yes,Sec 2 (Year 2),Female,Somewhat,Rarely,Yes,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks;drinks as well,A quarter of a meal,Yes,"Just order as much as we can finish, and be sure to finish the food. If unable to do so, we can always opt for takeaways and keep them so they can be consumed another time(but not when it turns bad)"
69,2022/09/09 5:54:38 PM GMT+8,No,Sec 3 (Year 3),Female,Yes,Sometimes,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,Yes,more managable food portions
70,2022/09/09 5:56:36 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Sometimes,No,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A quarter of a meal,Yes,"students can ask for less if they think the portion is too much
"
71,2022/09/09 6:13:24 PM GMT+8,No,Sec 1 (Year 1),Female,Yes,Sometimes,No,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A quarter of a meal,Yes,I think we can have a system where the students take their own food so they can see how much they want to take and it might reduce the wastage of food
72,2022/09/09 6:55:23 PM GMT+8,No,Sec 2 (Year 2),Female,Somewhat,Sometimes,Yes,No,,,,,,A few times a week,Rice/Carbohydrates,A few bites,Yes,offer different portion sizes at different prices (eg. a cheaper price for a smaller portion)
73,2022/09/09 7:07:09 PM GMT+8,No,Sec 2 (Year 2),Female,Yes,Sometimes,Yes,Yes,Rarely,Vegetables,A few bites,"I generally don't like vegetables (though most of the time I trry to eat them 🥲), and sometimes it's kind of soggy and they don't look like they were cooked properly 😬",Yes,Daily,Rice/Carbohydrates,A few bites,Yes,"Food stalls can make sure the food is of good quality (this would give consumers less reason to throw it away), and allow students to opt for smaller portions if they think they can't finish the regular portion. Students should help remind their friends to finish their food as well :)"
74,2022/09/09 7:16:41 PM GMT+8,Yes,Sec 2 (Year 2),Female,Yes,Often,Yes,No,,,,,,A few times a week,Rice/Carbohydrates,A few bites,Yes,the school can get food stalls to sell different portion sizes so that students can order sufficient food and prevent wastage.
75,2022/09/09 7:25:58 PM GMT+8,No,Sec 2 (Year 2),Male,Yes,Rarely,Yes,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables,A quarter of a meal,Yes,Consumers should order what they can eat to avoid left overs being thrown away
76,2022/09/09 7:43:01 PM GMT+8,No,Sec 2 (Year 2),Female,Somewhat,Rarely,Yes,No,,,,,,Rarely,Drinks??,A quarter of a meal,Yes,Get students to bring home the excess food to eat
77,2022/09/09 8:40:49 PM GMT+8,No,Sec 1 (Year 1),Female,Yes,Sometimes,Yes,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,Half of a meal,Yes,Eat what they can finish.
78,2022/09/09 10:14:44 PM GMT+8,No,Sec 2 (Year 2),Male,Yes,Sometimes,Yes,Yes,Once a week,Meat/Proteins,A few bites,Too much and cannot keep,Yes,A few times a week,,,Yes,Don’t over buy
79,2022/09/09 10:48:59 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Rarely,No,No,,,,,,Daily,Rice/Carbohydrates,A quarter of a meal,Yes,i think customers can pay depending on how much food they throw out (e.g. 1 cent for every 1g of food wasted)
80,2022/09/10 9:00:59 AM GMT+8,Yes,Sec 2 (Year 2),Male,Somewhat,Rarely,Yes,Yes,A few times a month,Snacks,A few bites,stomach pain from indigestion,Yes,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks,A few bites,Yes,reduce food portions and costs
81,2022/09/10 9:24:54 AM GMT+8,Yes,Sec 2 (Year 2),Female,Somewhat,Often,Yes,Yes,A few times a week,Rice/Carbohydrates;Vegetables,A few bites,"sometimes I don't feel like eating it (especially if I don't like the food), other times I feel too full",No,Multiple times a day,Rice/Carbohydrates,A few bites,Yes,students can make an effort to tell stall owners how much food (e.g. less rice) and what type of food (e.g. no vegetables) they want
82,2022/09/10 3:50:53 PM GMT+8,Yes,JC 2 (Year 6),nb ,Yes,Sometimes,Yes,Yes,A few times a month,Vegetables,A few bites,cant finish,Yes,Multiple times a day,Rice/Carbohydrates;Vegetables,A few bites,Yes,anaerobic digester (you can look it up! it can use food waste to generate electricity)
83,2022/09/10 5:59:02 PM GMT+8,No,Sec 1 (Year 1),Female,Yes,Sometimes,Yes,Yes,A few times a week,Vegetables,A few bites,we can't finish it or it expired in the fridge,No,A few times a week,Rice/Carbohydrates;Vegetables;Snacks,A few bites,Yes,NIL
84,2022/09/11 10:13:02 AM GMT+8,Yes,JC 1 (Year 5),Female,Yes,Rarely,Yes,Yes,A few times a week,Vegetables;Meat/Proteins,A few bites,because i can't finish it and i can't keep it either or it will go bad (no refridgerator in school),Yes,Once a week,tbh i dont pay attention,A few bites,Yes,food stall owners should be more flexible about the sizes of portions that they give. students should try to ask for less food if they know they can't finish. 
85,2022/09/11 1:09:39 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Sometimes,Yes,No,,,,,,A few times a week,Rice/Carbohydrates;Vegetables,Half of a meal,Yes,Educate the public more
86,2022/09/11 1:16:57 PM GMT+8,No,Sec 2 (Year 2),Female,Yes,Rarely,Yes,Yes,Once a week,Rice/Carbohydrates,A few bites,Cannot finish in time/it tastes too bad to finish,Yes,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins,A quarter of a meal,Yes,Maybe the food vendors could give smaller portions of food?
87,2022/09/11 1:55:38 PM GMT+8,Yes,Sec 2 (Year 2),Rather not say,Yes,Rarely,Yes,Yes,A few times a week,Those little bits of chilli i dont eat. Too hot for my taste.,A few bites,"
Look its the goddam chilli. I dont wanna say i dont waste but its like what 1 to 2 slices of thinly sliced chilli. Like the flavour. Not the thingamabob itself.",No,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins;Drinks,A few bites,Yes,"Ask for smaller portions, or dont buy. Works every time. Also dont over prepare. The things gonna spoil by the next day so no point, though i do understand it is hard as it is really difficult to estimate sales for the day."
88,2022/09/11 2:04:21 PM GMT+8,No,Sec 2 (Year 2),No,Somewhat,Rarely,Yes,No,,,,,,A few times a month,Snacks;Drinks,A few bites,Yes,Charge less money to buy less food so ppl wld actly buy less food so they can finish
89,2022/09/11 2:08:01 PM GMT+8,Yes,Sec 2 (Year 2),Female,Yes,Sometimes,Yes,No,,,,,,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins;Snacks;Drinks,A few bites,Yes,"Clean plate activity, smaller portions of food (for stalls) maybe"
90,2022/09/11 2:55:15 PM GMT+8,No,Sec 2 (Year 2),Female,Somewhat,Rarely,Yes,Yes,A few times a month,Rice/Carbohydrates;drinks,A few bites,"Cant finish, no time to eat",Yes,Daily,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,Yes,"Ask for less food, don't give so much food?"
91,2022/09/11 4:17:38 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Never,Yes,No,,,,,,Multiple times a day,Rice/Carbohydrates;Vegetables,A few bites,Yes,Ask for smaller portions and buy what they can eat
92,2022/09/11 5:41:47 PM GMT+8,Yes,Sec 2 (Year 2),Male,Yes,Rarely,Yes,No,,,,,,Multiple times a day,Rice/Carbohydrates;Vegetables;Meat/Proteins,A few bites,Yes,dont buy/bring something you wont eat
93,2022/09/11 8:52:32 PM GMT+8,Yes,Sec 1 (Year 1),Female,Yes,Often,Yes,No,,,,,,Once a week,Rice/Carbohydrates;Vegetables,A few bites,Yes,serve smaller portions in canteens and encourage students to bring smaller portions of food from home for people who do that
